"TIME","POSITION","R1","R2","CCR"
0.57,0,118.147,163.726,3755
0.571,0,118.148,163.728,3755
0.572,0,118.149,163.73,3755
0.573,0,118.15,163.732,3755
0.574,0,118.15,163.734,3755
0.575,0,118.151,163.736,3755
0.576,0,118.152,163.738,3755
0.577,0,118.153,163.74,3755
0.578,0,118.153,163.742,3755
0.579,0,118.154,163.744,3755
0.58,0,118.155,163.746,3755
0.581,0,118.157,163.748,3755
0.582,0,118.158,163.75,3755
0.583,0,118.159,163.752,3755
0.584,0,118.16,163.754,3755
0.585,0,118.161,163.756,3755
0.586,0,118.163,163.759,3755
0.587,0,118.164,163.761,3755
0.588,0,118.165,163.763,3755
0.589,0,118.166,163.765,3755
0.59,0,118.169,163.77,3755
0.591,0,118.171,163.774,3755
0.592,0,118.174,163.779,3755
0.593,0,118.176,163.783,3755
0.594,0,118.179,163.788,3755
0.595,0,118.181,163.792,3755
0.596,0,118.184,163.797,3755
0.597,0,118.186,163.801,3755
0.598,0,118.189,163.806,3755
0.599,0,118.191,163.81,3755
0.6,0,118.194,163.814,3755
0.601,0,118.196,163.817,3755
0.602,0,118.199,163.821,3755
0.603,0,118.201,163.824,3755
0.604,0,118.204,163.828,3755
0.605,0,118.206,163.831,3755
0.606,0,118.209,163.835,3755
0.607,0,118.211,163.839,3755
0.608,0,118.213,163.842,3755
0.609,0,118.216,163.846,3755
0.61,0,118.218,163.851,3755
0.611,0,118.22,163.855,3755
0.612,0,118.222,163.86,3755
0.613,0,118.224,163.865,3755
0.614,0,118.226,163.87,3755
0.615,0,118.228,163.875,3755
0.616,0,118.23,163.879,3755
0.617,0,118.232,163.884,3755
0.618,0,118.234,163.889,3755
0.619,0,118.236,163.894,3755
0.62,0,118.238,163.897,3754
0.621,0,118.24,163.9,3754
0.622,0,118.242,163.903,3754
0.623,0,118.244,163.906,3754
0.624,0,118.246,163.909,3754
0.625,0,118.248,163.912,3754
0.626,0,118.25,163.915,3754
0.627,0,118.252,163.918,3754
0.628,0,118.253,163.921,3754
0.629,0,118.255,163.924,3754
0.63,0,118.256,163.927,3754
0.631,0,118.257,163.929,3754
0.632,0,118.258,163.932,3754
0.633,0,118.259,163.935,3754
0.634,0,118.26,163.938,3754
0.635,0,118.261,163.941,3754
0.636,0,118.261,163.943,3754
0.637,0,118.262,163.946,3754
0.638,0,118.263,163.949,3754
0.639,0,118.264,163.952,3754
0.64,0,118.264,163.952,3754
0.641,0,118.265,163.952,3754
0.642,0,118.265,163.952,3754
0.643,0,118.266,163.953,3754
0.644,0,118.266,163.953,3754
0.645,0,118.266,163.953,3754
0.646,0,118.267,163.953,3754
0.647,0,118.267,163.953,3754
0.648,0,118.268,163.954,3754
0.649,0,118.268,163.954,3754
0.65,0,118.268,163.955,3754
0.651,0,118.268,163.957,3754
0.652,0,118.268,163.959,3754
0.653,0,118.268,163.96,3754
0.654,0,118.268,163.962,3754
0.655,0,118.268,163.963,3754
0.656,0,118.268,163.965,3754
0.657,0,118.268,163.967,3754
0.658,0,118.268,163.968,3754
0.659,0,118.268,163.97,3754
0.66,0,118.268,163.969,3754
0.661,0,118.268,163.969,3754
0.662,0,118.268,163.968,3754
0.663,0,118.268,163.968,3754
0.664,0,118.268,163.967,3754
0.665,0,118.268,163.966,3754
0.666,0,118.268,163.966,3754
0.667,0,118.269,163.965,3754
0.668,0,118.269,163.965,3754
0.669,0,118.269,163.964,3754
0.67,0,118.269,163.964,3754
0.671,0,118.269,163.963,3754
0.672,0,118.269,163.963,3754
0.673,0,118.269,163.963,3754
0.674,0,118.268,163.962,3754
0.675,0,118.268,163.962,3754
0.676,0,118.268,163.961,3754
0.677,0,118.268,163.961,3754
0.678,0,118.268,163.961,3754
0.679,0,118.268,163.96,3755
0.68,0,118.268,163.959,3755
0.681,0,118.268,163.958,3755
0.682,0,118.268,163.957,3755
0.683,0,118.268,163.956,3755
0.684,0,118.268,163.954,3755
0.685,0,118.268,163.953,3755
0.686,0,118.268,163.952,3755
0.687,0,118.268,163.951,3755
0.688,0,118.268,163.95,3755
0.689,0,118.268,163.949,3755
0.69,0,118.268,163.949,3755
0.691,0,118.267,163.949,3755
0.692,0,118.267,163.95,3755
0.693,0,118.266,163.95,3755
0.694,0,118.266,163.95,3755
0.695,0,118.265,163.951,3755
0.696,0,118.265,163.951,3755
0.697,0,118.264,163.951,3755
0.698,0,118.264,163.952,3755
0.699,0,118.264,163.952,3755
0.7,0,118.264,163.952,3755
0.701,0,118.264,163.953,3755
0.702,0,118.264,163.953,3755
0.703,0,118.264,163.953,3755
0.704,0,118.264,163.954,3755
0.705,0,118.264,163.954,3755
0.706,0,118.264,163.954,3755
0.707,0,118.264,163.954,3755
0.708,0,118.264,163.955,3755
0.709,0,118.264,163.955,3755
0.71,0,118.264,163.956,3755
0.711,0,118.264,163.957,3755
0.712,0,118.264,163.958,3755
0.713,0,118.264,163.959,3755
0.714,0,118.265,163.96,3755
0.715,0,118.265,163.961,3755
0.716,0,118.265,163.962,3755
0.717,0,118.265,163.963,3755
0.718,0,118.265,163.964,3755
0.719,0,118.266,163.965,3755
0.72,0,118.266,163.965,3755
0.721,0,118.266,163.966,3755
0.722,0,118.266,163.966,3755
0.723,0,118.266,163.967,3755
0.724,0,118.266,163.967,3755
0.725,0,118.266,163.967,3755
0.726,0,118.266,163.968,3755
